,Job,Salary_Begin,Salary_End,Hourly,Monthly,Yearly,Company,Rating,Posted_Date,Posted_Month,Type,Benefits,Qualifications,Job Link,Job_simp,Job_seniority,Location_type,num_Qualifications,num_Benefits,Salary_Average,num_Type,Date_Posted_Complete
206,Software Support Analyst II,61800.0,78300.0,0.0,0.0,1.0,Jenzabar,3.6,,,nan,"paidsicktime,visioninsurance,disabilityinsurance,paidtimeoff,paidparentalleave,tuitionreimbursement,healthinsurance,dentalinsurance,401(k),parentalleave,lifeinsurance","oracle,javascript,html5,microsoftsqlserver,linux,databases,it,windows,operatingsystems,sql,bachelor'sdegree,relationaldatabases,computerskills,computerscience,db2",https://www.simplyhired.com/job/y51tq4WW-ZOE586oCHsdOqNcDj0OXuIO3iyP5az_KvQPUOZ73f_KxA,Analyst,,Remote,15,11,70050.0,0,nan
207,Performance Tester,115000.0,120000.0,0.0,0.0,1.0,Dotdash Meredith,3.4,5.0,10.0,Full-time,"visioninsurance,flexiblespendingaccount,paidtimeoff,flexibleschedule,401(k)matching,tuitionreimbursement,healthinsurance,dentalinsurance,401(k),foodprovided,parentalleave,lifeinsurance","rest,writingskills,java,javascript,computernetworking,computerengineering,jenkins,bachelor'sdegree,ci/cd,newrelic,regressionanalysis,2years,computerscience,groovy,restfulapi,performancetesting",https://www.simplyhired.com/job/72sekgaHQ0UfPmHQAII2UdXhI8RKfuuNT4MBcT-kxwHSolrlkihnLQ,Others,,Remote,16,12,117500.0,1,5/10/2023
208,[Wordvice] Freelance Academic Editor (All Fields of Study),49400.0,62500.0,0.0,0.0,1.0,Wordvice,,,,Contract,nan,"english,microsoftword",https://www.simplyhired.com/job/l8DuYd51cTVKa5qzfS3S0ofEaBH2brPeseR025flarbxapgFJmDmmg,Others,,Remote,2,0,55950.0,1,nan
209,Webmaster,90000.0,110000.0,0.0,0.0,1.0,SIIM,3.3,,,Full-time,"retirementplan,visioninsurance,disabilityinsurance,flexiblespendingaccount,paidtimeoff,flexibleschedule,healthinsurance,professionaldevelopmentassistance,dentalinsurance,401(k),lifeinsurance","adobepremiere,html5,3years,keywordresearch,ui,bootstrap,php,adobecreativesuite,adobephotoshop,seo,css,ftp,responsivewebdesign,communicationskills,sql,bachelor'sdegree,editing,computerskills,javascript,contentmanagementsystems,microsoftoffice,googleanalytics,wordpress,adobeindesign,computerscience",https://www.simplyhired.com/job/83UZytHJ0ZNVKI1WuFPvG8ZFAyQvsc9HsNOh0ZnkPBuCj34bBEYxNA,Web Developer,,Remote,25,11,100000.0,1,nan
210,Quality Assurance Software Tester,91400.0,116000.0,0.0,0.0,1.0,Tactibit Technologies LLC,,,,Full-time,nan,"projectmanagement,aws,ccsp,softwaretroubleshooting,sdlc,comptiacloud+,comptiasecurity+,projectmanagementmethodology,softwaretesting,awscertification,analysisskills,bachelorofscience,git,bachelor'sdegree,gis,jira,agile,softwaredevelopment,5years,computerscience",https://www.simplyhired.com/job/O-yRgH12VjflTKBVZm8oOOTNNiwf0026v4VYOks5knbZikVRCm3URQ,Quality Assurance Engineer,,Remote,20,0,103700.0,1,nan
211,QA Tester (Epic Certified),79600.0,101000.0,0.0,0.0,1.0,ClinDCast LLC,,6.0,10.0,Contract,nan,"epiccertification,communicationskills,it,bachelor'sdegree,computerscience,epic",https://www.simplyhired.com/job/E-AF5YpiSiN83cp5C0_iunsJXdztWII2nzCjWSUNsemDgIE8fMBRVA,Others,,Remote,6,0,90300.0,1,6/10/2023
212,Mid-Level Software Engineer,95500.0,121000.0,0.0,0.0,1.0,"Whitespace, LTD",4.3,,,nan,"visioninsurance,disabilityinsurance,paidtimeoff,unlimitedpaidtimeoff,paidparentalleave,401(k)matching,healthinsurance,professionaldevelopmentassistance,dentalinsurance,401(k),parentalleave,lifeinsurance","research,analysisskills",https://www.simplyhired.com/job/ID1iGMp9ZJQEnmOxkTl5awS2rbs8lNT43xxyGtfP7Fkf05fjdSuNxg,Software Engineer,,Remote,2,12,108250.0,0,nan
213,Remote LAN Administrator,,53224.0,0.0,0.0,1.0,State of Indiana,3.4,6.0,10.0,nan,"457(b),visioninsurance,healthsavingsaccount,paidtimeoff,401(k)matching,tuitionreimbursement,loanforgiveness,healthinsurance,dentalinsurance,freeparking,referralprogram,401(k),employeeassistanceprogram,lifeinsurance","distributedsystems,systemdesign,computernetworking,communicationskills,operatingsystems,bachelor'sdegree,lan,remoteaccesssoftware,networkprotocols,computerscience,management,associate'sdegree",https://www.simplyhired.com/job/lYhXoE1fvUIINqp-leJzOMLE-pMujoh5TJ1c8zfVzaPtTP4NNaI3sQ,Administrator,,Remote,12,14,,0,6/10/2023
214,Splunk Engineer,70414.0,120111.0,0.0,0.0,1.0,Technohires Inc,,,,Full-time,"401(k),healthinsurance,dentalinsurance","computerscience,splunk,under1year",https://www.simplyhired.com/job/JESLkiAw3VzaUhrzZIW_MkjHMZOYvcSNWvtXCiVh4QlclOez43qY_A,Others,,Remote,3,3,95262.5,1,nan
215,Technical Support Engineer,68100.0,86300.0,0.0,0.0,1.0,Sectigo,4.5,,,Full-time,nan,"xml,apis,3years,linux,dns,virtualization,github,databases,mysql,git,lampstack,ftp,saas,communicationskills,it,sql,bachelor'sdegree,jira,organizationalskills,json",https://www.simplyhired.com/job/jMkUM1TzwHR63nw5-iaCYL4T3QLYFKnsmBTYcPfoMh613RuVuv081Q,Others,,Remote,20,0,77200.0,1,nan
216,Genomic Technology Support Engineer,71600.0,90700.0,0.0,0.0,1.0,Baylor Genetics,2.5,4.0,10.0,Full-time,"retirementplan,visioninsurance,flexiblespendingaccount,healthsavingsaccount,paidtimeoff,tuitionreimbursement,healthinsurance,dentalinsurance,401(k),lifeinsurance","technicalsupport,bash,databases,communicationskills,biotechnology,softwaretroubleshooting,unix,bioinformatics,sql,bachelor'sdegree,computerengineering,linux,2years,python,computerscience,shellscripting,r",https://www.simplyhired.com/job/XDtT2CYWtl60TeDHE-ta5fcIvgA48m6BGGfzpx7Dsvg0CSk31tR_VA,Others,,Remote,17,10,81150.0,1,4/10/2023
217,Sr Data Engineer I,120000.0,135000.0,0.0,0.0,1.0,Tandem Diabetes Care Inc.,3.7,,,Full-time,"visioninsurance,paidtimeoff,healthsavingsaccount,401(k)matching,healthinsurance,dentalinsurance,401(k)","machinelearning,distributedsystems,datawarehouse,communicationskills,it,python,sql,bachelor'sdegree,ci/cd,spark,5years,computerscience,devops",https://www.simplyhired.com/job/MkLr1Telel9syEUgrOnKF9UlkngqYkrOW5Fx317XmmM3dKfKYMY4Fg,Data Engineer,senior,Remote,13,7,127500.0,1,nan
218,Database Administrator,,,,,,Thrivent,3.8,,,Full-time,nan,"machinelearning,oracle,mongodb,aws,systemdesign,microsoftsqlserver,clouddevelopment,ai,cloudarchitecture,communicationskills,it,neo4j,azure,bachelor'sdegree,analysisskills,3years,databaseadministration,computerscience",https://www.simplyhired.com/job/LeLzBGuzIXb8jZlsNpYs-cOI_fowY5acEDf5gvi3yQQbmXiXEdAm3A,Administrator,,Remote,18,0,,1,nan
219,Quality Assurance Engineer,71845.0,86523.0,0.0,0.0,1.0,SEZ AEROSPACE USA LLC,,,,Temporary,"healthinsurance,flexibleschedule,dentalinsurance,visioninsurance","java,visualbasic,databases,3years,softwaretroubleshooting,computerengineering,bachelor'sdegree,soldering,softwareengineering,analysisskills,2years,computerscience",https://www.simplyhired.com/job/vCQ8MlSIGYX_30c8UERqS0BVP5nRnXdw5V61nyHj7BOnHf2I7Kyzxw,Quality Assurance Engineer,,Remote,12,4,79184.0,1,nan
220,Systems Specialist,100000.0,105000.0,1.0,0.0,0.0,INSPYR Solutions,3.9,6.0,10.0,"Full-time,Contract","visioninsurance,401(k)matching,healthinsurance,dentalinsurance,401(k),lifeinsurance","systemsengineering,activedirectory,microsoftwindowsserver,windows,it,sql,banking,2years,computerscience",https://www.simplyhired.com/job/n6V5wVzf_p9qEAxnxfaJX1A-K50Q14Sh7VK5RwG8sASy00PcJugBvg,Others,,Remote,9,6,102500.0,2,6/10/2023
221,Software Support Specialist,60000.0,85000.0,0.0,0.0,1.0,Recruiting From Scratch,4.0,,,Full-time,nan,"processimprovement,scripting,customersupport,communicationskills,softwaretroubleshooting,sql,bachelor'sdegree,dataanalysisskills,customerservice,analysisskills,remoteaccesssoftware,computerscience",https://www.simplyhired.com/job/fsbZ3WdFgVUk5YcEzSX1s64yuMkY1Yl4vf15epmeyII76x5QCC5z3g,Others,,Remote,12,0,72500.0,1,nan
222,Software Engineer - Remote,100000.0,140000.0,0.0,0.0,1.0,Rubris,,,,Full-time,"visioninsurance,paidtimeoff,401(k)matching,healthinsurance,dentalinsurance,401(k),workfromhome","projectmanagement,aws,testautomation,kanban,docker,rubyonrails,github,bootstrap,ruby,css,communicationskills,it,sql,bachelor'sdegree,test-drivendevelopment,javascript,postgresql,softwaredevelopment,computerscience",https://www.simplyhired.com/job/5LvvLw0P4ACoP0NyyYHAP97Z3S2dto6BEjLcU4nEfKXs7o1JZZQICg,Software Engineer,,Remote,19,7,120000.0,1,nan
223,Cybersecurity Analyst,89000.0,113000.0,0.0,0.0,1.0,Modali Consulting,,,,nan,nan,"vulnerabilitymanagement,niststandards,cism,cissp,presentationskills,ids,communicationskills,iso27001,operatingsystems,bachelor'sdegree,ceh,networkprotocols,computerscience,informationsecurity",https://www.simplyhired.com/job/uB-rcxQxrLxMPoVP_wrNFrfqXw0sUKJ-5hFchGu2RAn7FNWXKmIYhw,Analyst,,Remote,14,0,101000.0,0,nan
224,IT Engineer,80000.0,100000.0,0.0,0.0,1.0,apiphani,,,,nan,"401(k)3%match,disabilityinsurance,visioninsurance,unlimitedpaidtimeoff,401(k)matching,tuitionreimbursement,healthinsurance,stockoptions,dentalinsurance,401(k),employeeassistanceprogram","timemanagement,jira,oracle,servicenow,informationsystems,slack,computerskills,communicationskills,it,softwaretroubleshooting,bachelor'sdegree,analysisskills,5years,computerscience,systemsecurity",https://www.simplyhired.com/job/tP7S8GpHf3cYfkmqnAPNik312ysRw8Ctmmy2QT9sCgXHNj2tNx2WSQ,IT Engineer,,Remote,15,11,90000.0,0,nan
225,Tester,83600.0,106000.0,0.0,0.0,1.0,"Edgewater Federal Solutions, Inc.",3.1,,,Full-time,nan,"pegasystems,eclipse,java,apis,gradle,maven,full-stackdevelopment,communicationskills,unittesting,bachelor'sdegree,3years,computerscience,management",https://www.simplyhired.com/job/Tyk3X1PH4IrXaLbky14kXeJNZ_TnyBUxN6MHZ5PcIeLQNlp-GTJtrQ,Others,,Remote,13,0,94800.0,1,nan
226,Online AP Computer Science A Instructor,50000.0,100000.0,1.0,0.0,0.0,The Princeton Review,3.9,6.0,10.0,Part-time,"flexibleschedule,workfromhome,paidtraining","accountspayable,teaching,bachelor'sdegree,communicationskills",https://www.simplyhired.com/job/sgVQ_BxpEh-RppVv5OBMLWm9tX90oSeYAmzvXKuV-GCW3kmhj0Mu2g,Others,,Remote,4,3,75000.0,1,6/10/2023
227,Research Informatics Data Analyst,67100.0,84900.0,0.0,0.0,1.0,Boston Medical Center,3.8,,,Full-time,"healthinsurance,visioninsurance,dentalinsurance,tuitionreimbursement","computerinformationsystems,organizationalskills,epic,processimprovement,qualityassurance,healthinformationmanagement,1year,sql,master'sdegree,bachelor'sdegree,datavisualization,tableau,computerscience,r,datamining",https://www.simplyhired.com/job/vXLAAdddAJ4ubd2mxRWftZxI1SzkHjehpXBnaSRKlq1dO90Zy7qxXA,Analyst,,Remote,15,4,76000.0,1,nan
228,Data Analyst Co-Op,84600.0,107000.0,0.0,0.0,1.0,Cohere Health,2.5,6.0,10.0,nan,nan,"aws,publichealth,sql,master'sdegree,bachelor'sdegree,spark,s3,python,scala,r",https://www.simplyhired.com/job/TtMFaACypctMs9EjAk3jcbtT28aDwZWQvPrqRqa90lQ8k34U8M9siA,Analyst,,Remote,10,0,95800.0,0,6/10/2023
229,Software Engineer,98300.0,124000.0,0.0,0.0,1.0,Stage Front Tickets Inc,,,,nan,nan,"git,ui,javascript,react,front-enddevelopment,html5,responsivewebdesign,communicationskills,authentication,bachelor'sdegree,css,3years,test-drivendevelopment,computerscience,management",https://www.simplyhired.com/job/C01LxgiRpa5SaO3nVvRzU6YkVYeTr8NvosMY6dlDqKryNXQYDHivzQ,Software Engineer,,Remote,15,0,111150.0,0,nan
230,Associate Software Engineer,72900.0,92300.0,0.0,0.0,1.0,"Allied Benefit Systems, LLC",2.6,,,nan,nan,"bachelorofscience,timemanagement,ssh,apis,aws,microsoftsqlserver,1year,communicationskills,softwaretroubleshooting,azure,sql,bachelor'sdegree,sftp,computerscience,devops",https://www.simplyhired.com/job/YKUt7A54wfYmjQShJ_NI_C1UwEwE2AdBEcfkBZgF4OPtv8AlMLleCw,Software Engineer,,Remote,15,0,82600.0,0,nan
231,Technical Writer I,44200.0,56000.0,0.0,0.0,1.0,GEOGRAPHIC SOLUTIONS INC,3.3,,,nan,nan,"adobeacrobat,microsoftexcel,usability,visio,under1year,technicalwriting,bachelor'sdegree,sharepoint,layoutdesign,microsoftword,associate'sdegree",https://www.simplyhired.com/job/5FEs3oIey5h3m13CbjYS1cAb2j2N7BvIyGx6sZeTNRPsSSczXIskeg,Others,,Remote,11,0,50100.0,0,nan
232,Data Engineer,101000.0,127000.0,0.0,0.0,1.0,Sparibis,,3.0,10.0,nan,nan,"machinelearning,comptiasecurity+,databrickscertifieddataengineerprofessional,datamanagement,bachelor'sdegree,3years,secretclearance,computerscience,comptianetwork+",https://www.simplyhired.com/job/YFLFkTnhI3w9SunS4A9Wlu9Y7J0JLsBffY6qaP2KRO5tuXV5bsWqXw,Data Engineer,,Remote,9,0,114000.0,0,3/10/2023
233,"Software Engineer, Front End",143000.0,204000.0,0.0,0.0,1.0,Meta,4.1,5.0,10.0,nan,nan,"machinelearning,apis,javascript,react,ecmascript,html5,computerengineering,bachelor'sdegree,css,5years,computerscience",https://www.simplyhired.com/job/aYE3H_L-ROlxYiALq91SG6B6giFHjAm9MPHP1qo_gS_ainDU80D4Cw,Software Engineer,,Remote,11,0,173500.0,0,5/10/2023
234,Technical Editor,52100.0,66000.0,0.0,0.0,1.0,"Codeless, Interactive LLC",1.6,,,Full-time,nan,"writingskills,it,datamanagement,technicalwriting,editing,computerscience",https://www.simplyhired.com/job/d1Kqt_jEPNkQBVSp3a5XEz-iD8r4646csRc5JJitrb3pkR6OITJzFg,Others,,Remote,6,0,59050.0,1,nan
235,Staff Software Quality Engineer,116164.0,133522.0,0.0,0.0,1.0,Wisk Aero,4.7,,,Full-time,"visioninsurance,401(k)matching,tuitionreimbursement,healthinsurance,dentalinsurance,referralprogram,401(k),lifeinsurance","bachelorofscience,rootcauseanalysis,sdlc,8years,as9100,agile,engineering,communicationskills,bachelor'sdegree,qualitymanagement,analysisskills,requirementsanalysis",https://www.simplyhired.com/job/pBBSPcqxo90fdP-Z-FzGjZ1Eo6xuyiHZ91qPVL9UUKEELjw3b5lZEg,Quality Assurance Engineer,,Remote,12,8,124843.0,1,nan
236,Sr. RAQA Specialist,96000.0,130000.0,0.0,0.0,1.0,GE Healthcare,3.9,23.0,9.0,nan,"visioninsurance,paidtimeoff,401(k)matching,tuitionreimbursement,healthinsurance,dentalinsurance,401(k)","organizationalskills,engineering,ai,technicalwriting,bachelor'sdegree,computerscience",https://www.simplyhired.com/job/CWuhLbbw6epy86NwKyPV2aiF_S6MIsIdLP_KhO7XfDicj8VZyB58eg,Others,senior,Remote,6,7,113000.0,0,23/9/2023
237,Business/Quality Analyst,59100.0,74800.0,0.0,0.0,1.0,"Constellation Insurance, Inc",3.2,,,nan,"visioninsurance,paidtimeoff,paidparentalleave,401(k)matching,tuitionreimbursement,employeeassistanceprogram,healthinsurance,dentalinsurance,401(k),parentalleave,lifeinsurance","computerscience,bachelor'sdegree,businessadministration,business",https://www.simplyhired.com/job/H6wQnM4BcYHqTUckHqK-ydrsLfzn_SiLxLzQ-mYkiR71dorOUKhEEA,Analyst,,Remote,4,11,66950.0,0,nan
238,Product Analyst,81400.0,103000.0,0.0,0.0,1.0,Quadcode,,,,Full-time,nan,"a/btesting,communicationskills,sql,master'sdegree,dataanalysisskills,bachelor'sdegree,2years,python,r",https://www.simplyhired.com/job/ERsihztfro9P1-Ubppvog7uFghaXy4svAcX8fVQvHUAQQObgdFDSMQ,Analyst,,Remote,9,0,92200.0,1,nan
239,Analyst - Red Team (Remote),,,,,,United Airlines,3.9,,,Full-time,"401(k),parentalleave","businessrequirements,comptiasecurity+,oscp,vulnerabilityresearch,communicationskills,it,bachelor'sdegree,3years,ceh,devops",https://www.simplyhired.com/job/3hbrTtR8Zw6N39kZbivwFVBNP5FPH2gU7TKjqgHWgbgRkZlfJZEfsQ,Analyst,,Remote,10,2,,1,nan
240,Database Administrator,105000.0,140000.0,0.0,0.0,1.0,FlexTG,,6.0,10.0,nan,nan,"disasterrecovery,informationsystems,microsoftsqlserver,databases,encryption,communicationskills,sql,bachelor'sdegree,highavailability,analysisskills,3years,databaseadministration,performancetuning,computerscience",https://www.simplyhired.com/job/1mWGtaZlhM54JMW4TKYcL4Hrn0kumPknnI2xHoK6sD5SK-OP0kBnpA,Administrator,,Remote,14,0,122500.0,0,6/10/2023
241,Kafka Data Engineer,70000.0,120000.0,0.0,0.0,1.0,Synovize,,23.0,9.0,"Full-time,Contract","visioninsurance,paidtimeoff,healthsavingsaccount,flexibleschedule,401(k)matching,healthinsurance,dentalinsurance,401(k)","googlecloudplatform,java,kafka,aws,apache,nosql,communicationskills,azure,python,master'sdegree,bachelor'sdegree,spark,secretclearance,computerscience,datamodeling",https://www.simplyhired.com/job/RSJYh5l9FY_3bjLAwDA-dsvz3GH3ZIH2VS1l4fpYEUbJTjluYl10-g,Data Engineer,,Remote,15,8,95000.0,2,23/9/2023
242,Software Support Transition Analyst,65000.0,95000.0,0.0,0.0,1.0,Bastian Solutions - A Division of Toyota,,,,Full-time,"visioninsurance,flexiblespendingaccount,healthsavingsaccount,paidtimeoff,flexibleschedule,401(k)matching,tuitionreimbursement,employeeassistanceprogram,healthinsurance,professionaldevelopmentassistance,employeediscount,dentalinsurance,referralprogram,401(k),parentalleave,lifeinsurance","under1year,ssrs,3years,4years,business,1year,softwaretesting,analysisskills,6years,associate'sdegree,bachelorofscience,2years,systemdesign,communicationskills,sql,bachelor'sdegree,tfs,sharepoint,noexperienceneeded,softwaredevelopment,5years,computerscience",https://www.simplyhired.com/job/F53dMc08z08aRlNs1lmZq8Ays45GVPR7_8YBn-fiWewBuO9nl1pmdw,Analyst,senior,Remote,22,16,80000.0,1,nan
243,Data Analysis and Reporting Specialist,65700.0,83200.0,0.0,0.0,1.0,Water Mission,4.0,29.0,9.0,Full-time,nan,"statisticalsoftware,statisticalanalysis,r,microsoftexcel,spss,powerbi,databases,presentationskills,datamanagement,tableau,stata,datamining,communicationskills,sas,sql,dataanalysisskills,bachelor'sdegree,datavisualization,python,datacollection,master'sdegree,2years",https://www.simplyhired.com/job/iTUbP9cfVWvWRO4jzZd3qJMLCrv72prgcJN_QrKyga4urhGn910IpA,Others,,Remote,22,0,74450.0,1,29/9/2023
244,Business Analyst (Part-time),55000.0,69700.0,0.0,0.0,1.0,"Premier Solutions Hi, LLC",2.3,,,Part-time,401(k),"systemsanalysis,adobeacrobat,microsoftexcel,organizationalskills,analytics,spss,math,microsoftoffice,communicationskills,phoneetiquette,sas,sql,bachelor'sdegree,customerservice,3years,analysisskills",https://www.simplyhired.com/job/OIFs6LFuiV3WJ3KXHwfkA_QglvbcKf_gdN51nDPJetKTIosfZIgYlg,Analyst,,Remote,16,1,62350.0,1,nan
245,Jr data engineer,115000.0,120000.0,0.0,0.0,1.0,Kalani Consulting,5.0,,,Full-time,"visioninsurance,tuitionreimbursement,healthinsurance,dentalinsurance,401(k)","bachelorofscience,2years,informationsystems,datawarehouse,informatica,nosql,testautomation,3years,bigdata,sql,bachelor'sdegree,spark,etl,computerscience",https://www.simplyhired.com/job/y4o4bDEP7lJcrIwlGntux7zao5jvA_MmoAKD82oHSUP2CT4Ftq88eg,Data Engineer,junior,Remote,14,5,117500.0,1,nan
246,IT Data Support Assistant,44800.0,56700.0,0.0,0.0,1.0,Young Supply Company,4.0,28.0,9.0,nan,nan,"microsoftexcel,communicationskills,it,windows,teamviewer,remoteaccesssoftware,2years,computerscience,associate'sdegree",https://www.simplyhired.com/job/ekWe78kw6PZslaka7sUKmnqv41p40zVL68mFcDJIFKnq24iQKUw6cQ,IT Engineer,,Remote,9,0,50750.0,0,28/9/2023
247,Software Engineer In Test,76100.0,96400.0,0.0,0.0,1.0,QualityWorks Consulting Group,3.0,,,Full-time,nan,"jira,sdlc,apis,informationsystems,qualityassurance,aws,agile,computerscience,softwaretesting,under1year,bachelor'sdegree,awscertification,dataanalysisskills,softwarequalityassurance,istqbcertification,devops",https://www.simplyhired.com/job/WxwP7ysABmWj1H0aMUm8oGGtUeHC7stBpjYjsjB5IYcgfdwUYwywAw,Software Engineer,,Remote,16,0,86250.0,1,nan
248,Data Engineer (Associate),81500.0,103000.0,0.0,0.0,1.0,UMortgage,2.9,29.0,9.0,Full-time,nan,"datascience,writingskills,apis,2years,datalake,aws,datawarehouse,construction,databases,sql,bachelor'sdegree,ci/cd,relationaldatabases,s3,python,datamodeling",https://www.simplyhired.com/job/MIC_SZxBjNjKvdDzwTpdMSybx3rECDAjCjwY_6DQoQCrs8j3MP49CQ,Data Engineer,,Remote,16,0,92250.0,1,29/9/2023
249,Agile Software Business Analyst (Remote),69700.0,88300.0,0.0,0.0,1.0,EPS Operations LLC,,27.0,9.0,Full-time,"visioninsurance,disabilityinsurance,paidtimeoff,401(k)matching,healthinsurance,dentalinsurance,401(k)","organizationalskills,sdlc,informationsystems,agile,scrum,databases,communicationskills,technicalwriting,kanban,dataanalysisskills,bachelor'sdegree,computerscience",https://www.simplyhired.com/job/UwOHymt95_V_MkCp8MK20AS60MmMfKy24EvN0pkvTnH29HjVxbO7JQ,Analyst,,Remote,12,7,79000.0,1,27/9/2023
250,Product Specialist,84900.0,107000.0,0.0,0.0,1.0,OnePlan Solutions,,,,Full-time,nan,"continuousimprovement,devops,enterprisesoftware,technicalsupport,math,ai,powerbi,azure,analysisskills,microsoftproject,informationsystems,qualityassurance,communicationskills,bachelor'sdegree,sharepoint,mobileapplications,computerskills,management,jira,agile,microsoftoffice,debugging,2years,computerscience",https://www.simplyhired.com/job/0Ci-jpseeNI0Es_R6vSGb5CToxiFJ74Djth0hETZovx5Pn4S8ho8lw,Others,,Remote,24,0,95950.0,1,nan
251,"Engineer, Payment Services (Remote)",98000.0,117000.0,0.0,0.0,1.0,Abercrombie and Fitch Co.,3.5,,,Full-time,"visioninsurance,disabilityinsurance,paidtimeoff,flexibleschedule,paidparentalleave,401(k)matching,opportunitiesforadvancement,healthinsurance,dentalinsurance,401(k),storediscount,parentalleave","apis,microservices,pci,ios,customerservice,java,sdlc,e-commerce,kafka,spring,springboot,communicationskills,bachelor'sdegree,graphql,sox,rest,websphere,jpa,2years,computerscience",https://www.simplyhired.com/job/QWY8IVj4RVSJMGnUA9evdgmBH9w2kmlGDR3d6myG1H-zl5QcU7ceoQ,Others,,Remote,20,12,107500.0,1,nan
252,Entry Level Software Engineer for Naval Research Technology,70900.0,89800.0,0.0,0.0,1.0,Amentum,3.8,5.0,10.0,Full-time,nan,"java,c,agile,electricalengineering,c#,oop,c++,secretclearance,bachelor'sdegree,matlab,python",https://www.simplyhired.com/job/gxvn2zczWprSv-fRcCmRdnfLhO_c6eaeJCHX7-6nh2wX0D3sxHiQ3g,Software Engineer,junior,Remote,11,0,80350.0,1,5/10/2023
253,"Desktop Administrator - Mount Airy, NC",53500.0,67800.0,0.0,0.0,1.0,Insteel Wire Products,3.0,26.0,9.0,Full-time,"visioninsurance,disabilityinsurance,healthsavingsaccount,flexiblespendingaccount,paidtimeoff,employeestockpurchaseplan,tuitionreimbursement,401(k)matching,healthinsurance,dentalinsurance,401(k),employeeassistanceprogram","computerscience,under1year,windows,bachelor'sdegree,computerskills,associate'sdegree",https://www.simplyhired.com/job/zp8nLo1uTAxNqtZF5OWLvu2nGlyXAsfCsZjLBkgZI-HJNwa3auo6hA,Administrator,,Remote,6,12,60650.0,1,26/9/2023
254,Python Developer,85000.0,102000.0,0.0,0.0,1.0,KesarWeb,,,,Full-time,visasponsorship,"django,computerengineering,python,flask,bachelor'sdegree,computerscience",https://www.simplyhired.com/job/QdgCDSY3CjSUfKIcR9O_0h_y7i5ZbC53H3P8E-WsqarXKF3JdAKyQg,Software Developer,,Remote,6,1,93500.0,1,nan
255,GRC Specialist,100000.0,110000.0,0.0,0.0,1.0,SevenRooms,1.0,,,nan,"401(k),commuterassistance,gymmembership,visioninsurance,paidtimeoff,unlimitedpaidtimeoff,paidparentalleave,healthinsurance,dentalinsurance,continuingeducationcredits,parentalleave,lifeinsurance","pci,under1year,vendormanagement,big4,itauditing,hospitality,cism,informationsecurity,cissp,informationsystems,continuousintegration,communicationskills,it,certifiedinformationsystemsauditor,bachelor'sdegree,crisc,computerskills,publicaccounting,computerscience",https://www.simplyhired.com/job/R7bpzHJkFTu5GSl8aSJK6hlg6ZDxP8ACko-rx4vJhS33-LGx1QkD5g,Others,,Remote,19,12,105000.0,0,nan
256,Quality Assurance Analyst,57453.0,72105.0,0.0,0.0,1.0,Busology,,,,Full-time,"retirementplan,visioninsurance,paidtimeoff,flexibleschedule,tuitionreimbursement,healthinsurance,professionaldevelopmentassistance,dentalinsurance,lifeinsurance","apis,aws,ios,microsoftsqlserver,c#,testautomation,computernetworking,devops,4years,windows,azure,softwareengineering,git,2years,continuousintegration,communicationskills,sql,mobileapplications,agile,scrum,oop,selenium,relationaldatabases,svn,visualstudio",https://www.simplyhired.com/job/BZFcViyRfTqqUyk8ohz9fbIoMel9gIJ64RxhKrwJCB7OYeHs9eh8Pw,Analyst,,Remote,25,9,64779.0,1,nan
257,AFLCMC - Business Analyst (Remote),80000.0,120000.0,0.0,0.0,1.0,Integrated Data Services,,6.0,10.0,nan,"ad&dinsurance,visioninsurance,flexiblespendingaccount,paidtimeoff,401(k)matching,healthinsurance,dentalinsurance,referralprogram,401(k),lifeinsurance","businessanalysis,organizationalskills,business,dodexperience,computerskills,military,ids,bachelor'sdegree,financialmanagement,programmanagement,7years",https://www.simplyhired.com/job/XuoxadinqGvH_MGuVu3LJsHH3ZMAWkpGxpPRV1w4fnMPAkDbC1C5YQ,Analyst,,Remote,11,10,100000.0,0,6/10/2023
258,IT Support Specialist Team Lead,57100.0,72300.0,0.0,0.0,1.0,TWO MEN AND A TRUCK®,3.2,,,nan,"visioninsurance,disabilityinsurance,paidtimeoff,401(k)matching,opportunitiesforadvancement,dentalinsurance,401(k)","writingskills,sdlc,projectmanagement,qualitycontrol,projectmanagementmethodology,leadership,microsoftoffice,customerservice,computerscience,associate'sdegree",https://www.simplyhired.com/job/frUqEHYWaBGM3hY3eILKNQ60YZzH-q4h0AagkejyKA-az-wOsaRZ8g,IT Engineer,senior,Remote,10,7,64700.0,0,nan
259,"Software Engineer, Devices",84320.0,115940.0,0.0,0.0,1.0,Amwell,3.7,29.0,9.0,Full-time,"visioninsurance,paidtimeoff,paidparentalleave,employeestockpurchaseplan,tuitionreimbursement,401(k)matching,healthinsurance,dentalinsurance,401(k),petinsurance,parentalleave","telehealth,organizationalskills,javascript,webdevelopment,systemdesign,angular,softwaredevelopment,communicationskills,bachelor'sdegree,node.js,3years,analysisskills,productmanagement,computerscience",https://www.simplyhired.com/job/r_tPSQl8G93HXtzHtlCsE-3lnnLygoKxBD1_OfVMnTXbn05d-aMJGQ,Software Engineer,,Remote,14,11,100130.0,1,29/9/2023
