,Job,Salary_Begin,Salary_End,Hourly,Monthly,Yearly,Company,Rating,Posted_Date,Posted_Month,Type,Benefits,Qualifications,Job Link,Job_simp,Job_seniority,Location_type,num_Qualifications,num_Benefits,Salary_Average,num_Type
117,Application Support Analyst - 100% Remote,63600.0,80500.0,0.0,0.0,1.0,S&S Healthcare,2.9,,,nan,nan,"customerservice,it,shellscripting,.net,c#,sql,linux,3years,analysisskills,debugging,helpdesk,bachelor'sdegree,bash,softwaretroubleshooting",https://www.simplyhired.com/job/OqX4jZ_wefnvdsTOfW6FnjHZ3r_krFHE4_1DEGUzUPsIgeqKBzypzQ,Analyst,,Remote,14,0,72050.0,0
118,Service Desk Analyst,49800.0,63100.0,0.0,0.0,1.0,iVision,3.7,30.0,9.0,nan,nan,"english,itilcertification,computerskills,customerservice,windows,computerhardware,microsoftoffice,operatingsystems,comptianetwork+,computerscience,applicationsupport,communicationskills,hdicertification,microsoftwindowsserver,bachelor'sdegree,comptiaa+,macos,itil",https://www.simplyhired.com/job/kY0HX3Ac53cl0O31kQ3OxnAvurnMVB_lE-lF5VTC1rSc1V4j6vXmGg,Analyst,,,18,0,56450.0,0
119,Software Engineer,99400.0,126000.0,0.0,0.0,1.0,ASRC Federal Holding Company,3.4,6.0,10.0,"Part-time,Full-time",nan,"java,computerengineering,hadoop,7years,softwareengineering,computerscience,zookeeper,softwaredevelopment,bachelor'sdegree",https://www.simplyhired.com/job/vzJo6QQu7EInFddRdl_HzO6GlC9NE-Sh8OHt9mCEw3Ylvf4PPtacnw,Software Engineer,,,9,0,112700.0,2
120,Information Security Compliance Associate,76800.0,97200.0,0.0,0.0,1.0,SAP,4.2,29.0,9.0,Full-time,referralprogram,"german,english,informationsecurity,writingskills,datascience,computerscience,projectmanagement,computernetworking,analysisskills,communicationskills,master'sdegree,bachelor'sdegree,1year,leadership",https://www.simplyhired.com/job/6v3J3JLYFximQ8kEl8PaL-F1eGD-ZEtJKRwNXin31cxxhl4-GJso2w,Security Engineer,senior,,14,1,87000.0,1
121,Customer Success Specialist,50500.0,64000.0,0.0,0.0,1.0,Advanced Agrilytics,4.5,6.0,10.0,Full-time,"healthinsurance,401(k)matching,dentalinsurance,lifeinsurance,visioninsurance,401(k)","computerskills,gis,gps,arcgis,computerscience,communicationskills,bachelor'sdegree",https://www.simplyhired.com/job/yT6z35OcEj1_U40tKUp_DN2FKHCvyNtwbEd88QBw6e6y0nAjLpaGbA,Others,,,7,6,57250.0,1
122,Applications Analyst,,70000.0,0.0,0.0,1.0,PingWind,4.6,28.0,9.0,Full-time,"healthinsurance,disabilityinsurance,tuitionreimbursement,employeeassistanceprogram,401(k)matching,paidtimeoff,dentalinsurance,lifeinsurance,flexibleschedule,visioninsurance,continuingeducationcredits,401(k)","it,agile,dicom,operatingsystems,computerscience,5years,communicationskills,bachelor'sdegree,systemdesign,github,sharepoint,safe",https://www.simplyhired.com/job/Vkgq8YQl-SHKjFi8BcgGNIXUAdZAMcN5u5vU7AvTowlZ7aztGdqp5A,Analyst,,,12,12,,1
123,"Software Engineer, Infrastructure",116002.0,168000.0,0.0,0.0,1.0,Facebook App,4.1,6.0,10.0,nan,nan,"php,java,computerengineering,c++,c,c#,computerscience,machinelearning,2years,bachelor'sdegree",https://www.simplyhired.com/job/XWjW8-HHHurVWqjNYkH1_PFtgH_dy_RGdoSmySiqsof-j8Pd6cQ_Ww,Software Engineer,,,10,0,142001.0,0
124,Specialist-HIMS -Remote,37180.0,51000.0,1.0,0.0,0.0,Mayo Clinic,3.9,4.0,10.0,Full-time,"opportunitiesforadvancement,continuingeducationcredits","rhit,customerservice,computerskills,healthinformationtechnology,microsoftword,microsoftoffice,microsoftexcel,associate'sdegree,computerscience,microsoftoutlook,rhia,medicalrecords,analysisskills,typing",https://www.simplyhired.com/job/wDgdTT_15LwtFbm1oztG6jM_7sha9XyJYsJSI0sWi9wPC71bYBtYzg,Others,,Remote,14,2,44090.0,1
125,Computer Systems Analyst I,69500.0,88000.0,0.0,0.0,1.0,B.E.A.T. LLC,3.5,,,Full-time,"healthinsurance,dentalinsurance,401(k)","computerskills,engineering,computerscience,comptiasecurity+,bachelor'sdegree,1year",https://www.simplyhired.com/job/ItE3aKLwW3EgGE5WGaTJQTHTHeicUMqjW-4-BO_NitWOm6Xi4rZYwg,Analyst,,,6,3,78750.0,1
126,Technical Analyst (Remote),76200.0,96400.0,0.0,0.0,1.0,Rightsline,,,,Full-time,"healthinsurance,happyhour,401(k)matching,paidtimeoff,dentalinsurance,flexibleschedule,401(k)","c#,computerscience,sql,microsoftsqlserver,communicationskills,1year,timemanagement",https://www.simplyhired.com/job/pG7KL9JUbAGpMyuTlKdtBYL1QE9oZqzONMPcnbLO46nsmjaCoRNBmA,Analyst,,Remote,7,7,86300.0,1
127,Bioinformatician I,59000.0,95000.0,0.0,0.0,1.0,Exact Sciences Corporation,3.1,6.0,10.0,Full-time,"healthinsurance,parentalleave,paidtimeoff,visioninsurance,retirementplan","bachelor'sdegree,computerscience,linux,computationalbiology,python,bioinformatics,git,analysisskills,perl,2years,nextgenerationsequencing,communicationskills",https://www.simplyhired.com/job/AwiACQnv7VVl7TxmVQbeP4FI4AXXMJgFCncgJuWow9PpT4UvsDpNHQ,Others,,,12,5,77000.0,1
128,Quality Assurance (QA) Analyst,72400.0,91700.0,0.0,0.0,1.0,Data Ideology,5.0,23.0,9.0,Full-time,"healthinsurance,disabilityinsurance,employeeassistanceprogram,profitsharing,referralprogram,dentalinsurance,lifeinsurance,ad&dinsurance,retirementplan,visioninsurance","azure,qualityassurance,computerskills,datamodeling,javascript,bachelor'sdegree,computerscience,sql,r,python,analysisskills,etl,communicationskills,dataanalysisskills,datascience,databases,devops",https://www.simplyhired.com/job/-RVY3J6TL6MOS71ySUtL7jlF3yEldu6f2oZz7bD97_etIEvMz_P0hg,Analyst,,,17,10,82050.0,1
129,Software Engineer,85500.0,108000.0,0.0,0.0,1.0,Bluedrop USA,,,,Full-time,"healthinsurance,paidtimeoff,dentalinsurance,flexibleschedule,visioninsurance,401(k)","computerengineering,windows,.net,computerscience,analysisskills,2years,softwaredevelopment,communicationskills,bachelor'sdegree,debugging,devops,softwaretroubleshooting",https://www.simplyhired.com/job/h7WF59E5K63JqiUbM-NalAqcmEcNIBGNSxF3WBfWMEFXkaF75MMslQ,Software Engineer,,,12,6,96750.0,1
130,Software Engineer,130000.0,150000.0,0.0,0.0,1.0,United Talent Agency (UTA),,5.0,10.0,Full-time,nan,"typescript,docker,javascript,neo4j,bachelor'sdegree,redis,computerscience,elasticsearch,python,rust,3years,apis,etl,communicationskills,kubernetes,bachelorofscience,postgresql",https://www.simplyhired.com/job/qCjJl5BhgL6gPUZXs-rYMETum8ElcXvZCzrzliIhTISR6v60aWmwvg,Software Engineer,,,17,0,140000.0,1
131,Data Scientist,90600.0,115000.0,0.0,0.0,1.0,The Hershey Company,3.7,5.0,10.0,nan,nan,"mathematics,spark,machinelearning,communicationskills,master'sdegree,keras,datascience,teradata,pytorch,hadoop,googlecloudplatform,deeplearning,tensorflow,apachehive,predictiveanalytics,statistics,datamining,aws,ai,1year,quantitativeresearch,azure,sql,leadership",https://www.simplyhired.com/job/78enPVhFkdnKQ6-p7twLj95r86HzHZgZVX-C5CeWMwyKlsOZrxYdXw,Data Scientist,senior,,24,0,102800.0,0
132,Vulnerability Analyst,45154.0,80000.0,0.0,0.0,1.0,Manasvini Global Solutions,,28.0,9.0,Full-time,nan,"confidentialclearance,informationsecurity,vulnerabilitymanagement,computerscience,giaccertification,nessus,analysisskills,communicationskills,bachelor'sdegree,vulnerabilityassessment",https://www.simplyhired.com/job/MgjcmwICPUJr7ovtUIdhcdWasg775jN-2IKYNVJypHZcE_6uJ9T-zw,Analyst,,,10,0,62577.0,1
133,Data Analyst III,82160.0,106540.0,1.0,0.0,0.0,Kern Health Systems,4.0,6.0,10.0,Full-time,nan,"managedcare,datamining,writingskills,8years,bachelor'sdegree,microsoftexcel,driver'slicense,computerscience,databasemanagement,sql,analytics,organizationalskills,communicationskills,dataanalysisskills,relationaldatabases,sas,reportwriting",https://www.simplyhired.com/job/U3sPiNKdcA4Hq2fkUNik8lqJLnEGUgVja4yeu7y-rJ7_dOqMHKqIZw,Analyst,,,17,0,94350.0,1
134,Data Quality Analyst,84500.0,107000.0,0.0,0.0,1.0,Wiliot,,,,Full-time,nan,"nosql,computerscience,sql,3years,analysisskills,informatica,master'sdegree,communicationskills,bachelor'sdegree",https://www.simplyhired.com/job/StonrXNwcpMpGo1gCx3zXFnvuE0vB35ruXMJ6S9Wb0JkMow31nzm0A,Analyst,,,9,0,95750.0,1
135,Report Analyst - Remote,54140.0,106160.0,1.0,0.0,0.0,Optum,3.3,6.0,10.0,Full-time,"401(k),401(k)matching","dataanalytics,datacollection,mathematics,bachelor'sdegree,microsoftexcel,sql,medicare,2years,communicationskills,dataanalysisskills,statistics,sas",https://www.simplyhired.com/job/gAuH-uoiRERHLmOewp23GfL8NPnC8EouH_fgSRTec3kCNTT6Pku6Wg,Analyst,,Remote,12,2,80150.0,1
136,Software Engineer (Data),105000.0,125000.0,0.0,0.0,1.0,Flashpoint,3.0,,,nan,happyhour,"java,scala,vulnerabilitymanagement,apache,spark,designpatterns,analysisskills,sdlc,bigdata,datastructures",https://www.simplyhired.com/job/3OJrwzfhmA8nUuAuwDRatgS0DOLGjZsMdnxCSwUj_5JV_kpTalCkiw,Software Engineer,,,10,1,115000.0,0
137,Quality Assurance,60000.0,68000.0,0.0,0.0,1.0,"Prevail Health, INC",,,,Full-time,"healthinsurance,401(k)matching,paidtimeoff,dentalinsurance,visioninsurance,workfromhome,401(k)","testautomation,javascript,bachelor'sdegree,selenium,under1year,computerscience,projectmanagement,jira,3years,react,1year,2years,mobileapplications,bachelorofscience,rubyonrails,communicationskills,sdlc",https://www.simplyhired.com/job/S_LFFv3RNEEMG2-79CIGMe-jhlL7tqAX-GRlKwSkV1sHzsj1JmyGwQ,Quality Assurance Engineer,,,17,7,64000.0,1
138,Junior Digital Developer,73800.0,93500.0,0.0,0.0,1.0,PRECISIONeffect,2.4,3.0,10.0,nan,"healthinsurance,disabilityinsurance,paidtimeoff,lifeinsurance,parentalleave,retirementplan","computerscience,html5,2years,bachelor'sdegree,adobeindesign,adobephotoshop",https://www.simplyhired.com/job/UjBpOFM4x55iyLocNGCDa517EWmAmn6qTGVc7onmBk4s9WRWqoe8Lw,Software Developer,junior,,6,6,83650.0,0
139,Custom Calculations Programmer I,51000.0,69000.0,0.0,0.0,1.0,PAYLOCITY CORPORATION,3.4,23.0,9.0,Full-time,"healthinsurance,401(k)matching,dentalinsurance,visioninsurance,401(k)","payroll,microsoftoffice,computerscience,sql,bachelor'sdegree,paylocity,softwaretroubleshooting",https://www.simplyhired.com/job/kWCv80b1EsRU-9Hg4I6ZEPEfI8ZWUioF0ksx-aHmnvOEF-Ne26F7jw,Others,,,7,5,60000.0,1
140,ERP Technical Analyst Temp (Remote in the northeast),100000.0,110000.0,0.0,0.0,1.0,Eileen Fisher,3.7,6.0,10.0,Full-time,uniformallowance,"oop,computerscience,jira,microsoftsqlserver,bachelor'sdegree,confluence,erpsystems",https://www.simplyhired.com/job/nbq004--sOkWeLjg43tSLw6CXvpdlZq6LhNGHwPIn2fX6XJ9PzexYw,Analyst,,Remote,7,1,105000.0,1
141,"Software Engineer, Front End",143000.0,204000.0,0.0,0.0,1.0,Meta,4.1,6.0,10.0,nan,nan,"computerengineering,javascript,css,computerscience,5years,html5,react,machinelearning,bachelor'sdegree,ecmascript,apis",https://www.simplyhired.com/job/3VH6ht7uy2-eOHZX0HtHJnmSeSqnjdBcQw7T71TGy-IeKawLB5cfGg,Software Engineer,,,11,0,173500.0,0
142,"Software Engineer, Product - Reality Labs",116002.0,168000.0,0.0,0.0,1.0,Oculus,4.1,5.0,10.0,nan,nan,"computerengineering,javascript,css,computerscience,reactnative,react,machinelearning,mobileapplications,bachelor'sdegree,1year,full-stackdevelopment,xhtml",https://www.simplyhired.com/job/AHeOPSSaCufzP6oOt_GPbeGavSOjzyXXviI0Erg2TchwsCkwYRlgpg,Software Engineer,,,12,0,142001.0,0
143,Utility Billing Analyst,54000.0,68400.0,0.0,0.0,1.0,Resource Energy,3.6,27.0,9.0,nan,nan,"microsoftexcel,projectmanagement,bachelorofscience,accounting,bachelor'sdegree,timemanagement",https://www.simplyhired.com/job/uqd26VwgY0O_ahdulcHiE9R6PJ5V4TxxC-89a5A-V3Kn23dae2Uk9w,Analyst,,,6,0,61200.0,0
144,Support Analyst and CRM Administrator,48000.0,57680.0,1.0,0.0,0.0,ComplyAuto,,28.0,9.0,Full-time,"healthinsurance,401(k)matching,paidtimeoff,healthsavingsaccount,dentalinsurance,visioninsurance,unlimitedpaidtimeoff,401(k)","hubspot,customerservice,business,computerscience,3years,crmsoftware,analysisskills,supervisingexperience,communicationskills,bachelor'sdegree",https://www.simplyhired.com/job/3kF-M7Q4sSil5nUEk3XaNX3owNHexrUunVrUAygk_FMv0o4Y7f10Xg,Analyst,,,10,8,52840.0,1
145,Data Analyst - Permanent Remote Opportunity,69785.0,104678.0,0.0,0.0,1.0,SKYGEN USA,2.9,5.0,10.0,Full-time,nan,"ssis,healthcaremanagement,computerscience,5years,sql,sdlc,microsoftsqlserver,bachelor'sdegree,github,managementinformationsystems,ssrs",https://www.simplyhired.com/job/3fAUl0z7gBe_atShjJ1wU6cITy3aa980MGz-CREW4sEE2lpA722-oQ,Analyst,senior,Remote,11,0,87231.5,1
146,Quality Assurance Engineer,68300.0,86500.0,0.0,0.0,1.0,"NextDeavor, Inc.",,6.0,10.0,Full-time,nan,"testautomation,ios,agile,buildautomation,oop,bachelor'sdegree,computerscience,bachelorofscience,communicationskills,dataanalysisskills,1year",https://www.simplyhired.com/job/2nP3t1BK4xxvaQ-Zn21U4ZKIn9mLXf9X9jxCXgccDE-TBEKFIhr6Sg,Quality Assurance Engineer,,,11,0,77400.0,1
147,System Administrator,67275.0,112125.0,0.0,0.0,1.0,Builders FirstSource,3.6,6.0,10.0,Full-time,"healthinsurance,disabilityinsurance,paidparentalleave,parentalleave,401(k)matching,healthsavingsaccount,ad&dinsurance,401(k),flexiblespendingaccount,visioninsurance","english,windows,computerscience,linux,communicationskills,financialacumen,management,cloudinfrastructure,vmware,bachelor'sdegree,virtualization,systemdesign,dhcp,financialanalysis,microsoftoffice,vcenter,networkprotocols,pki,azure,activedirectory,ssl,unix,dns,residentialconstruction,spanish,2years",https://www.simplyhired.com/job/S7SncMoH_TW1flNROr6_mXNsdajkshZPMPFd5XJ3e_wp1iaUjguSyQ,Administrator,,,26,10,89700.0,1
148,Quality Assurance Tester,88200.0,112000.0,0.0,0.0,1.0,Definitive Logic,4.4,,,Full-time,"healthinsurance,disabilityinsurance,tuitionreimbursement,cellphonereimbursement,referralprogram,dentalinsurance,ad&dinsurance,petinsurance,401(k),visioninsurance","testautomation,scrum,qualityassurance,agile,computerscience,integrationtesting,jira,processimprovement,3years,bachelor'sdegree,apis,webaccessibility",https://www.simplyhired.com/job/CXE9GZLf1NvdDxykhs1Ym0WAX0esE4QweRGhq1MOXJv6bjtDmXzwug,Quality Assurance Engineer,,,12,10,100100.0,1
149,IT Project Coordinator,,,,,,ScribeAmerica,3.1,,,Full-time,nan,"computerskills,windows,it,computerscience,projectmanagement,management,analysisskills,2years,communicationskills,bachelor'sdegree,macos",https://www.simplyhired.com/job/OpSaZp1YIpFm8ckj9_LhoBrgGd_B35c2NmAQE0s7pKNm6NN4FkYCww,IT Engineer,,,11,0,,1
150,JUNIOR SOFTWARE DEVELOPER,60000.0,70000.0,0.0,0.0,1.0,Kampgrounds Of America,4.1,3.0,10.0,Full-time,"disabilityinsurance,paidparentalleave,employeeassistanceprogram,paidtimeoff,healthsavingsaccount,dentalinsurance,lifeinsurance,parentalleave,401(k),flexiblespendingaccount,visioninsurance","ssis,oop,computerscience,git,react,communicationskills,angular,ssrs,asp.net,javascript,c#,html5,businessrequirements,bachelor'sdegree,webdevelopment,agile,css,designpatterns,sdlc,unittesting,microsoftsqlserver",https://www.simplyhired.com/job/-6UPArnePHUbXfc3dpwJeFXcls6Xw3JVX7UItdQb5fsXv8w1Uxjing,Software Developer,senior,,21,11,65000.0,1
151,IT Support Analyst,42900.0,54300.0,0.0,0.0,1.0,QualDerm Partners LLC,2.6,,,Full-time,nan,"english,windows,microsoftword,driver'slicense,computerscience,communicationskills,driving,softwaretroubleshooting,computerhardware,associate'sdegree,analysisskills,organizationalskills,bachelor'sdegree,macos,ios,microsoftoffice,microsoftexcel,computernetworking,microsoftaccess,1year,computerskills,it,microsoftpowerpoint,helpdesk",https://www.simplyhired.com/job/hlEx6kuEXAIr0314ESRYOHDxa1NH5h1vaJYYDwSgYNvAE2-QTPbE0Q,Analyst,,,24,0,48600.0,1
152,eDiscovery Data Engineer (Processing Specialist),63800.0,80800.0,0.0,0.0,1.0,"Contact Government Services, LLC",,30.0,9.0,Full-time,nan,"bachelorofarts,visualbasic,sql,bachelorofscience,heavylifting,html5,organizationalskills,bachelor'sdegree,scripting",https://www.simplyhired.com/job/6KUPfqh1PobUZoMAGnINm53mdCW8yv1YoOskxarBZrNyq0LmtqYQ-A,Data Engineer,,,9,0,72300.0,1
153,Java SIM Expert,60000.0,70000.0,1.0,0.0,0.0,Warrior Tech solutions,,27.0,9.0,Contract,"relocationassistance,paidtimeoff,tuitionreimbursement,referralprogram","java,ios,operatingsystems,3years,rest,communicationskills,bachelor'sdegree,iosdevelopment,https",https://www.simplyhired.com/job/DuGFrMGGLjNdbmkbtxcqITcAFrcehLfI-zPbAum2Hk7AqJbnrY6DoQ,Others,senior,,9,4,65000.0,1
154,Data Engineer (Remote),79100.0,100000.0,0.0,0.0,1.0,Patterson Technology Center,3.2,,,nan,nan,"datascience,3years,computerscience,bachelor'sdegree",https://www.simplyhired.com/job/KdL-KhnFWJGdIiVkNUMy8nMz6M1eeAf4M3FEIs6rInkNHLJg-ZSCLg,Data Engineer,,Remote,4,0,89550.0,0
155,Data Analyst,56360.0,90180.0,1.0,0.0,0.0,CEDARS-SINAI,4.1,,,Full-time,tuitionreimbursement,"informationscience,computerscience,databasedevelopment,master'sdegree,bachelor'sdegree,1year,requirementsgathering",https://www.simplyhired.com/job/naWX1qaPeNdUBQwCm4sQpwi1fMT3bGiHcvL1MBbkIOWRTQwAm_quQA,Analyst,,,7,1,73270.0,1
156,Software Engineer,95500.0,121000.0,0.0,0.0,1.0,Cyberjin,,4.0,10.0,Full-time,nan,"analytics,computerscience,sdlc,2years,communicationskills,bachelor'sdegree,timemanagement",https://www.simplyhired.com/job/-IAFKgQQMDvQYNhwPMpWX-JCZhuFYz8T1ZDiZW9d-gzrEOStEgUKxQ,Software Engineer,,,7,0,108250.0,1
157,IT Support Engineer,85000.0,110000.0,0.0,0.0,1.0,IronOrbit,,,,nan,nan,"esxi,windows,it,activedirectory,vcenter,performancetuning,computerscience,5years,systemsengineering,computernetworking,vmware,communicationskills,vsphere,powershell,bachelor'sdegree,virtualization,scripting",https://www.simplyhired.com/job/DQrdZ8g7SbFdI-sFoQcYkVAQdXuLjtgHdC2i3w600cYg0277YLhH1A,IT Engineer,,,17,0,97500.0,0
158,Big Data Engineer,70000.0,120000.0,0.0,0.0,1.0,Synovize,,23.0,9.0,"Full-time,Contract","healthinsurance,paidtimeoff,healthsavingsaccount,dentalinsurance,lifeinsurance,flexibleschedule,visioninsurance,401(k),flexiblespendingaccount","java,bachelor'sdegree,computerscience,secretclearance,python,machinelearning,communicationskills,master'sdegree,aws,bigdata,kotlin,kafka",https://www.simplyhired.com/job/Gfj3qkVR1HdFLwDg5ERNESWKlVYMUaOHDpyEZtQ1nQnVJNyf51KsAg,Data Engineer,,,12,9,95000.0,2
159,Software Developer,68000.0,86200.0,0.0,0.0,1.0,Gregory Welteroth Advertising,3.2,5.0,10.0,Full-time,nan,"javascript,.net,c#,computerscience,sql,html5,organizationalskills,2years,communicationskills,bachelor'sdegree",https://www.simplyhired.com/job/jRyHGa7Fq1sZF-1md0RvX-jt1BEHRfS9sqgH0zYE6oNi2eSPMBe5iA,Software Developer,,,10,0,77100.0,1
160,Software Engineer,76900.0,97400.0,0.0,0.0,1.0,BlueCross BlueShield of Tennessee,3.9,,,Full-time,nan,"it,driver'slicense,computerscience,analysisskills,applicationdevelopment,bachelor'sdegree,1year,leadership",https://www.simplyhired.com/job/lf4gusTa_Hi75G_P-9zuWl65npr-NsEKFryxxZLh1h5Ww8FnwagWhg,Software Engineer,senior,,8,0,87150.0,1
161,Cyber Security Analyst I,68000.0,86200.0,0.0,0.0,1.0,B.E.A.T. LLC,3.5,,,Full-time,"healthinsurance,dentalinsurance,401(k)","engineering,computerscience,comptiasecurity+,rmf,niststandards,bachelor'sdegree,1year",https://www.simplyhired.com/job/acfcm9atspMXD6sJjInpbC89PPTajBfDIZ2Np4MxYBKYMh2cwOcZmA,Analyst,,,7,3,77100.0,1
162,Software Engineer,70000.0,120000.0,0.0,0.0,1.0,Synovize,,23.0,9.0,"Part-time,Full-time","healthinsurance,tuitionreimbursement,employeeassistanceprogram,401(k)matching,paidtimeoff,healthsavingsaccount,dentalinsurance,professionaldevelopmentassistance,flexibleschedule,employeediscount,parentalleave,relocationassistance,lifeinsurance,referralprogram,retirementplan,401(k),flexiblespendingaccount,visioninsurance","computerscience,distributedsystems,linux,git,react,communicationskills,softwaretroubleshooting,front-enddevelopment,secretclearance,rest,analysisskills,s3,bachelor'sdegree,typescript,css,python,aws,dynamodb,azure,it,restfulapi,elasticsearch,unittesting,visualstudio",https://www.simplyhired.com/job/IeqPW1u0ewHn0sVvVKJRcH3yYAMaPfeANMNGgigs_Y9nw_gdTRYhgA,Software Engineer,,,24,18,95000.0,2
163,Data Governance Specialist,60000.0,85000.0,0.0,0.0,1.0,"BLANK ROME, LLP",,,,Full-time,"healthinsurance,disabilityinsurance,profitsharing,commuterassistance,dentalinsurance,paidtimeoff,visioninsurance,401(k)","microsoftword,microsoftoffice,microsoftexcel,metadata,computerscience,microsoftoutlook,sql,management,organizationalskills,2years,datagovernance,bachelor'sdegree,communicationskills,powerbi",https://www.simplyhired.com/job/vEwbcR5caETqnAUu1VTPct--uJCFsT-tnW3w5N7iahy8vuwh6Eaoig,Others,,,14,8,72500.0,1
164,Software QA Engineer,80000.0,101000.0,0.0,0.0,1.0,TTC Global,5.0,,,nan,"healthinsurance,401(k)matching,paidtimeoff,dentalinsurance,visioninsurance,401(k)","computerscience,softwaretesting,2years,communicationskills,bachelor'sdegree",https://www.simplyhired.com/job/JlnxnolxLtqDD6Z2oDH0CgG0PlsqabYvXYw9sikjfsRBTAnaJPUIpA,Others,,,5,6,90500.0,0
165,Performance Test Analyst,115000.0,120000.0,0.0,0.0,1.0,Dotdash Meredith,3.4,5.0,10.0,Full-time,"healthinsurance,tuitionreimbursement,401(k)matching,paidtimeoff,healthsavingsaccount,dentalinsurance,professionaldevelopmentassistance,flexibleschedule,stockoptions,parentalleave,employeediscount,lifeinsurance,referralprogram,retirementplan,foodprovided,401(k),flexiblespendingaccount,visioninsurance","java,computerengineering,jenkins,writingskills,restfulapi,javascript,computerscience,newrelic,ci/cd,computernetworking,rest,regressionanalysis,2years,bachelor'sdegree,groovy,performancetesting",https://www.simplyhired.com/job/aCYKxI7g7M7oGyIpHi5g5LJVbIMKXlGzw-OJM_KEk3IGDRcjnveVJQ,Analyst,,,16,18,117500.0,1
166,Data Analyst III - Healthcare - Remote,64400.0,81600.0,0.0,0.0,1.0,Qlarant,2.9,,,Full-time,opportunitiesforadvancement,"c,microsoftword,microsoftoffice,microsoftexcel,bachelor'sdegree,under1year,sql,r,dataanalysisskills,python,analysisskills,medicare,master'sdegree,bachelorofscience,sas,research",https://www.simplyhired.com/job/ZkKKpaKSS1Tzinc9SpxmoXTKuOKHzy2NcfvG26iw-Fzk-D7nV4eXhA,Analyst,,Remote,16,1,73000.0,1
167,Quality Assurance Specialist and testing,97600.0,124000.0,0.0,0.0,1.0,"New Light Technologies, Inc.",4.6,6.0,10.0,Full-time,"healthinsurance,401(k)matching,paidtimeoff,referralprogram,dentalinsurance,employeediscount,parentalleave,401(k),visioninsurance","visio,11+years,qualityassurance,oracle,7years,it,qualitycontrol,microsoftoffice,selenium,computerskills,computerscience,sql,jira,microsoftpowerpoint,sdlc,bachelor'sdegree,sharepoint",https://www.simplyhired.com/job/p-CHL4cNvA0xudICd9sUpjqjn_WmqMEe-nPyovcO2EoSZzncKIXQVA,Quality Assurance Engineer,,,17,9,110800.0,1
168,"Technical Support Representative Customer Success Remote, US",43500.0,55000.0,0.0,0.0,1.0,Quickbase,4.4,3.0,10.0,Full-time,"healthinsurance,gymmembership,paidparentalleave,401(k)matching,commuterassistance,parentalleave,401(k)","customerservice,windows,javascript,css,computerscience,linux,html5,itsupport,communicationskills,1year,macos",https://www.simplyhired.com/job/kOaueQapTuaZ44DWsD3dgdvXll7TfFwRZxp-WHlTQKvBZ-VjyCXUFA,Others,,Remote,11,7,49250.0,1
169,Software Quality Assurance Analyst I,57100.0,72300.0,0.0,0.0,1.0,AmeriFlex,2.3,,,Full-time,nan,"scrum,tfs,microsoftword,agile,bachelor'sdegree,microsoftexcel,webservices,computerscience,sql,jira,softwaretesting,analysisskills,businessrequirements,2years,communicationskills,bachelorofscience,sdlc",https://www.simplyhired.com/job/M6-EnwURoz3BoZrhGHrJ_8VZmzIg7zr8ZTCOfKuwE6VKfgLlbRzY1w,Analyst,,,17,0,64700.0,1
170,Full-Time Data Analyst,69900.0,88500.0,0.0,0.0,1.0,Victory,3.7,,,Full-time,"healthinsurance,disabilityinsurance,tuitionreimbursement,401(k)matching,paidtimeoff,healthsavingsaccount,dentalinsurance,lifeinsurance,referralprogram,visioninsurance,401(k),flexiblespendingaccount","spss,mathematics,presentationskills,communicationskills,economics,sas,analysisskills,businessrequirements,bachelor'sdegree,statistics,datamining,databasedesign,microsoftexcel,python,reportwriting,dataanalytics,writingskills,mysql,sql,etl,googleanalytics,2years,bachelorofscience",https://www.simplyhired.com/job/MZsWCriJDAwpsl2SWU08IciLjxFDnKnXt1TCTqgEtPZHm-b4S5WSXg,Analyst,,,23,12,79200.0,1
171,Data Engineer,74000.0,93700.0,0.0,0.0,1.0,Providencia Group,3.1,6.0,10.0,Full-time,nan,"microsoftword,driver'slicense,computerscience,communicationskills,powerbi,5years,analysisskills,bachelor'sdegree,typing,microsoftoffice,microsoftexcel,python,tableau,sharepoint,computerskills,sql,r,datavisualization,datastructures",https://www.simplyhired.com/job/sLV-oXcGh0WwoYM-eyhHecq45uPNn-UaUnu4mYLxeBC9GN_J6Kl2HQ,Data Engineer,,,19,0,83850.0,1
172,Test Engineer,110000.0,120000.0,1.0,0.0,0.0,IDN Technologies,,,,Contract,nan,"computerengineering,bachelor'sdegree,computerscience,cptcoding,management,analysisskills,softwaretesting,2years,communicationskills,softwareengineering,testmanagementtools,scripting,softwaretroubleshooting,timemanagement",https://www.simplyhired.com/job/Ops05VzJ3dOD4y6Pwo41fXIegQW4Fod-a_DN9uMBg0QLKeYrwE8_Aw,Others,,,14,0,115000.0,1
173,Network Admin Technician,50600.0,64100.0,0.0,0.0,1.0,CPSI,2.6,23.0,9.0,Full-time,"disabilityinsurance,paidparentalleave,paidtimeoff,lifeinsurance,parentalleave,401(k)","activedirectory,informationsystems,computerscience,computernetworking,networkmonitoring,ids,bachelor'sdegree",https://www.simplyhired.com/job/FimbLPKgo-HVS0XKMRBw2zp-sIhZv_5Wt_dg2PyvMhDCOQynaxPXbA,Administrator,,,7,6,57350.0,1
